evaluation_item_id,image_path,main_object,closest_object,object_position,gemma_description,manual_review_status,object_consistency,spatial_consistency,clarity,naturalness,scene_completeness,unsupported_claims,evaluator_notes
VE-011,images/visual_evaluation_blind_v2/VE-011.jpg,koper atau kotak penyimpanan,koper atau kotak penyimpanan,tengah,Gambar menunjukkan sebuah koper besar berwarna gelap yang diletakkan di atas lantai keramik putih di dalam ruangan. Latar belakangnya adalah dinding polos dan lantai berubin.,completed,5,4,5,5,4,0,Deskripsi akhir tepat meski label awal memberi alternatif kotak penyimpanan.
VE-012,images/visual_evaluation_blind_v2/VE-012.jpg,koper,koper,depan,Sebuah koper besar berwarna gelap diletakkan di atas lantai keramik. Objek tersebut mendominasi bagian depan gambar.,completed,5,5,5,5,4,0,Koper dominan di bagian depan sesuai citra.
VE-013,images/visual_evaluation_blind_v2/VE-013.jpg,koper/tas,koper/tas,tengah,Gambar menunjukkan sebuah koper atau tas besar berwarna gelap yang diletakkan di atas lantai ruangan. Latar belakangnya adalah dinding polos berwarna terang.,completed,5,4,5,5,4,0,Objek dan latar sesuai; posisi hanya umum.
VE-014,images/visual_evaluation_blind_v2/VE-014.jpg,koper,koper,tengah,Sebuah koper berwarna gelap diletakkan di atas lantai keramik dengan latar belakang dinding berwarna terang. Objek tersebut mendominasi bagian tengah gambar.,completed,5,5,5,5,4,0,Objek dominan di tengah dan konteks sesuai.
VE-015,images/visual_evaluation_blind_v2/VE-015.jpg,koper,koper,tengah,Gambar menunjukkan lingkungan indoor dengan lantai keramik dan dinding berwarna terang. Objek utama adalah sebuah koper hitam yang diletakkan di tengah lantai.,completed,5,5,5,5,4,0,"Koper, lantai, dinding, dan posisi sesuai."
VE-016,images/visual_evaluation_blind_v2/VE-016.jpg,Permukaan material bertekstur gelap,Potongan bahan terang,tengah,Gambar menampilkan permukaan material berwarna gelap dengan pola banyak lubang melingkar yang terdistribusi merata. Terdapat sedikit potongan bahan berwarna terang di bagian atas gambar.,completed,4,4,4,4,3,0,"Permukaan close-up dijelaskan tepat, tetapi identitas koper tidak disebut."
VE-017,images/visual_evaluation_blind_v2/VE-017.jpg,koper/wadah besar,permukaan depan koper,tengah,Gambar ini menampilkan koper atau wadah besar berwarna abu-abu yang diletakkan di atas roda. Objek tersebut mendominasi sebagian besar bingkai gambar.,completed,4,5,4,4,3,0,"Bentuk dan roda sesuai, tetapi identitas dibuat ambigu sebagai wadah."
VE-018,images/visual_evaluation_blind_v2/VE-018.jpg,koper besar abu-abu,koper besar abu-abu,tengah,Gambar ini menampilkan koper besar berwarna abu-abu yang diletakkan di dalam ruangan dengan latar belakang dinding berwarna terang. Koper tersebut memiliki dua tiang vertikal yang menonjol dari bagian atasnya.,completed,5,5,5,5,4,0,Koper dan dua batang pegangan sesuai citra.
VE-019,images/visual_evaluation_blind_v2/VE-019.jpg,koper/tas,koper/tas,tengah,Gambar ini menampilkan sebuah koper besar berwarna gelap yang diletakkan di atas lantai keramik. Latar belakangnya adalah dinding polos berwarna terang.,completed,5,4,5,5,4,0,"Objek, lantai, dan dinding sesuai citra."
VE-020,images/visual_evaluation_blind_v2/VE-020.jpg,koper,koper,tengah,Sebuah koper hitam diletakkan di atas lantai keramik di depan dinding berwarna terang. Tidak ada hambatan signifikan yang terlihat dalam gambar ini.,completed,5,4,4,4,3,0,Objek sesuai; kalimat ketiadaan hambatan menambah sedikit informasi visual.
VE-021,images/visual_evaluation_blind_v2/VE-021.jpg,koper,koper,tengah,Sebuah koper hitam besar diletakkan di atas lantai ruangan. Objek tersebut mendominasi sebagian besar bingkai gambar.,completed,5,5,5,5,4,0,Koper dominan dan posisi sesuai citra.
VE-022,images/visual_evaluation_blind_v2/VE-022.jpg,koper,koper,tengah,Gambar ini menampilkan sebuah koper besar berwarna gelap yang diletakkan di atas lantai keramik ruangan indoor. Objek tersebut berada tepat di tengah bingkai dengan latar belakang dinding polos.,completed,5,5,5,5,4,0,Objek dan posisi tepat dengan konteks yang sesuai.
VE-023,images/visual_evaluation_blind_v2/VE-023.jpg,koper/kotak besar berwarna abu-abu,tidak_diketahui,tengah,"Gambar ini menampilkan koper atau kotak besar berwarna abu-abu yang diletakkan di atas roda, mengisi sebagian besar bingkai. Tidak ada hambatan lain yang terlihat dalam pandangan ini.",completed,4,3,4,4,3,0,"Objek utama cukup tepat, tetapi closest_object tidak ditentukan dan uraian sangat umum."
VE-024,images/visual_evaluation_blind_v2/VE-024.jpg,Permukaan bertekstur gelap,Benda kecil berwarna terang,tengah,Gambar ini menampilkan close-up dari permukaan panel gelap dengan pola berlubang atau bertekstur. Terdapat benda kecil berwarna terang yang terlihat di bagian atas gambar.,completed,4,4,4,4,3,0,"Permukaan dan benda terang sesuai, tetapi identitas objek utama tidak disebut."
VE-025,images/visual_evaluation_blind_v2/VE-025.jpg,koper,koper,tengah,Sebuah koper hitam diletakkan di lantai keramik putih dalam lingkungan indoor. Objek tersebut mendominasi bagian tengah gambar dan tampak jelas.,completed,5,5,5,5,4,0,"Objek, posisi, dan lingkungan sesuai citra."
VE-026,images/visual_evaluation_blind_v2/VE-026.jpg,koper,koper,depan,Sebuah koper berwarna gelap diletakkan di atas lantai keramik terang di dalam ruangan. Objek tersebut mendominasi area depan gambar.,completed,5,5,5,5,4,0,Koper dominan di depan sesuai citra.
VE-027,images/visual_evaluation_blind_v2/VE-027.jpg,koper/tas besar,koper/tas besar,tengah,Gambar ini menampilkan sebuah koper atau tas besar berwarna gelap yang diletakkan di atas lantai keramik ruangan indoor. Objek tersebut mendominasi bagian tengah bingkai gambar.,completed,5,5,5,5,4,0,Objek dan posisi sesuai; alternatif tas masih wajar.
VE-028,images/visual_evaluation_blind_v2/VE-028.jpg,koper/tas roda,koper/tas roda,tengah,Gambar ini menampilkan sebuah koper atau tas roda berwarna hitam yang diletakkan di atas lantai. Latar belakangnya adalah dinding polos berwarna terang.,completed,5,5,5,5,4,0,"Koper beroda, lantai, dan dinding sesuai."
VE-029,images/visual_evaluation_blind_v2/VE-029.jpg,koper,koper,tengah,Gambar ini menampilkan sebuah koper besar berwarna gelap yang diletakkan di atas lantai keramik. Koper tersebut berada di tengah bingkai dengan latar belakang dinding polos.,completed,5,5,5,5,4,0,"Objek, posisi, lantai, dan dinding sesuai."
VE-030,images/visual_evaluation_blind_v2/VE-030.jpg,Permukaan bertekstur gelap,Potongan material terang,tengah,Gambar menunjukkan permukaan panel berwarna gelap dengan pola lubang melingkar. Terdapat potongan kecil material berwarna terang yang terlihat di bagian atas gambar.,completed,4,4,4,4,3,0,"Permukaan close-up tepat, tetapi identitas koper tidak disebut."
VE-031,images/visual_evaluation_blind_v2/VE-031.jpg,koper/tas,koper/tas,tengah,Gambar ini menampilkan sebuah koper hitam dengan roda yang diletakkan di atas lantai. Objek tersebut berada di tengah bingkai dan tampak jelas.,completed,5,5,5,5,4,0,"Koper, roda, dan posisi sesuai citra."
VE-032,images/visual_evaluation_blind_v2/VE-032.jpg,koper/tas hitam,koper/tas hitam,tengah,Sebuah koper berwarna hitam diletakkan di atas lantai keramik putih di dalam ruangan. Objek tersebut menjadi fokus utama dalam bingkai gambar.,completed,5,4,5,5,4,0,Objek dan lingkungan sesuai; posisi tidak dirinci.
VE-033,images/visual_evaluation_blind_v2/VE-033.jpg,Permukaan bertekstur gelap,Potongan kertas/bahan terang,kanan,Gambar ini menampilkan permukaan berwarna gelap dengan tekstur berlubang yang menutupi sebagian besar bingkai. Terdapat potongan kecil berwarna terang yang terlihat di bagian atas kanan gambar.,completed,4,4,4,4,3,0,"Permukaan dan benda terang sesuai, tetapi identitas koper tidak disebut."
VE-034,images/visual_evaluation_blind_v2/VE-034.jpg,Permukaan bertekstur gelap,Benda terang tak jelas,depan,Gambar ini menampilkan permukaan gelap dengan pola lubang melingkar. Terdapat benda berwarna terang yang tampak di bagian atas gambar.,completed,4,4,4,4,3,0,"Isi close-up konsisten, namun deskripsi sangat generik."
VE-035,images/visual_evaluation_blind_v2/VE-035.jpg,koper,koper,tengah,Sebuah koper berwarna gelap dengan roda diletakkan di atas lantai keramik di depan dinding berwarna terang. Objek utama mendominasi bagian tengah gambar.,completed,5,5,5,5,4,0,"Koper, roda, posisi, lantai, dan dinding sesuai."
VE-036,images/visual_evaluation_blind_v2/VE-036.jpg,koper/tas,koper/tas,tengah,Gambar ini menampilkan sebuah koper berwarna hitam diletakkan di atas lantai keramik putih di dalam ruangan. Latar belakangnya adalah dinding polos berwarna terang.,completed,5,4,5,5,4,0,Objek dan lingkungan sesuai; posisi hanya tersirat.
