image_name,main_object,object_position,distance_annotation_basis,annotation_confidence,distance_category,has_obstacle,front_area_status,safer_direction,notes
1 (8935).jpg,meja rapat,tengah,visual_relative,medium,dekat,yes,terhalang,kanan,meja rapat besar memenuhi area depan pada ruang kantor
1 (8962).jpg,meja rapat,tengah,visual_relative,medium,sangat_dekat,yes,terhalang,kiri,meja rapat sangat dekat dan memenuhi area bawah depan
1 (8963).jpg,meja rapat,tengah,visual_relative,medium,sangat_dekat,yes,terhalang,kiri,meja rapat besar sangat dekat di tengah depan
1 (8965).jpg,meja rendah,tengah,visual_relative,medium,dekat,yes,terhalang,kiri,meja rendah berada dekat di tengah ruangan bergaya tatami
1 (7248).jpg,lorong,tengah,visual_relative,medium,jauh,no,relatif_lapang,tengah,lorong indoor memanjang dengan objek kecil di ujung jauh dan area depan kosong
1 (6083).jpg,bangku ruang ganti,kanan,visual_relative,medium,sedang,no,relatif_lapang,tengah,bangku panjang berada di kanan tetapi area lantai depan relatif lapang
1 (6082).jpg,bangku ruang ganti,kanan,visual_relative,medium,sedang,no,relatif_lapang,tengah,bangku berada di kanan dan belakang sementara area depan tengah cukup kosong
1 (6845).jpg,tangga,tengah,visual_relative,medium,sedang,no,relatif_lapang,tengah,tangga berada di tengah belakang dengan area karpet depan relatif lapang
1 (7258).jpg,meja kelas,tengah,visual_relative,medium,dekat,yes,terhalang,kiri,meja dan kursi kelas berada dekat di area depan tengah
1 (7254).jpg,lorong,tengah,visual_relative,medium,jauh,no,relatif_lapang,tengah,koridor panjang dengan area depan kosong dan struktur jauh di ujung
1 (7252).jpg,lorong,tengah,visual_relative,medium,jauh,no,relatif_lapang,tengah,lorong panjang dengan pot tanaman jauh di tengah belakang dan area depan kosong
1 (9887).jpg,kursi kerja,tengah,visual_relative,medium,dekat,yes,terhalang,kiri,kursi kerja berada dekat di tengah depan meja
1 (6169).jpg,bangku,tengah,visual_relative,medium,sedang,no,relatif_lapang,kiri,bangku sempit berada di tengah agak jauh dengan ruang depan cukup lapang
1 (7245).jpg,lorong,tengah,visual_relative,medium,jauh,no,relatif_lapang,tengah,koridor indoor panjang dengan area depan kosong dan objek jauh di ujung
