image_name,mode,expected_object,predicted_object,object_match,expected_position,predicted_position,position_match,expected_distance,predicted_distance,distance_match,expected_obstacle,predicted_distance_for_obstacle,obstacle_match,quality,final_description
indoor_004.webp,depth_only,tumpukan barang,,False,kanan,,True,dekat,dekat,True,yes,dekat,True,4.0,"Berdasarkan estimasi kedalaman relatif, bagian bawah-kanan merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif dekat. Area bawah-kanan berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area kiri tampak relatif lebih lapang."
indoor_004.webp,gemma_depth,tumpukan barang,Pakaian dan barang,False,kanan,kanan,True,dekat,dekat,True,yes,dekat,True,4.0,"Terlihat Pakaian dan barang di area kanan. Berdasarkan estimasi kedalaman relatif, bagian bawah-kanan merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif dekat. Area bawah-kanan berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area kiri tampak relatif lebih lapang."
indoor_005.webp,gemma_only,kulkas,Kulkas/Peralatan besar,True,kanan,kanan,True,sedang,,,no,,,5.0,"Ini adalah lorong indoor sempit dengan area utilitas di bagian belakang. Terdapat kulkas besar di sisi kanan, serta beberapa rak penyimpanan yang terlihat."
indoor_005.webp,depth_only,kulkas,,False,kanan,,True,sedang,dekat,False,no,dekat,False,2.0,"Berdasarkan estimasi kedalaman relatif, bagian tengah-kanan merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif dekat. Area tengah-kanan berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area tengah tampak relatif lebih lapang."
indoor_005.webp,gemma_depth,kulkas,Kulkas,True,kanan,tengah,True,sedang,dekat,False,no,dekat,False,3.0,"Terlihat Kulkas di area tengah. Berdasarkan estimasi kedalaman relatif, bagian tengah-kanan merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif dekat. Area tengah-kanan berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area tengah tampak relatif lebih lapang."
indoor_006.webp,gemma_only,galon air,Kompor gas,False,kiri,tengah,False,sangat_dekat,,,yes,,,1.667,"Area dapur terlihat sibuk dengan kompor gas yang sedang digunakan. Terdapat beberapa botol dan kotak di lantai, sehingga perlu diperhatikan potensi hambatan saat bergerak."
indoor_006.webp,depth_only,galon air,,False,kiri,,True,sangat_dekat,dekat,False,yes,dekat,True,3.0,"Berdasarkan estimasi kedalaman relatif, bagian bawah-kiri merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif dekat. Area bawah-kiri berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area kanan tampak relatif lebih lapang."
indoor_006.webp,gemma_depth,galon air,Kompor gas listrik,False,kiri,tengah,True,sangat_dekat,dekat,False,yes,dekat,True,3.0,"Terlihat Kompor gas listrik di area tengah. Berdasarkan estimasi kedalaman relatif, bagian bawah-kiri merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif dekat. Area bawah-kiri berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area kanan tampak relatif lebih lapang."
indoor_007.webp,gemma_only,kantong belanja,area kamar mandi/dapur kecil,False,kanan,tengah,True,dekat,,,yes,,,3.333,"Area ini memiliki ubin dinding dan wastafel di sisi kiri. Sebuah pintu terlihat di sebelah kanan, dengan karpet merah diletakkan di depannya."
indoor_007.webp,depth_only,kantong belanja,,False,kanan,,True,dekat,dekat,True,yes,dekat,True,4.0,"Berdasarkan estimasi kedalaman relatif, bagian bawah-kanan merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif dekat. Area bawah-kanan berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area tengah tampak relatif lebih lapang."
indoor_007.webp,gemma_depth,kantong belanja,Kamar Mandi,False,kanan,tengah,True,dekat,dekat,True,yes,dekat,True,4.0,"Terlihat Kamar Mandi di area tengah. Berdasarkan estimasi kedalaman relatif, bagian bawah-kanan merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif dekat. Area bawah-kanan berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area tengah tampak relatif lebih lapang."
indoor_008.webp,gemma_only,ember,Bak mandi abu-abu,False,kiri,depan,False,dekat,,,yes,,,1.667,Ini adalah area kamar mandi yang dilapisi ubin. Bak mandi besar berwarna abu-abu terlihat menempati bagian depan ruangan.
indoor_008.webp,depth_only,ember,,False,kiri,,True,dekat,dekat,True,yes,dekat,True,4.0,"Berdasarkan estimasi kedalaman relatif, bagian tengah-kanan merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif dekat. Area tengah-kanan berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area kiri tampak relatif lebih lapang."
indoor_008.webp,gemma_depth,ember,Bak mandi besar,False,kiri,kiri,True,dekat,dekat,True,yes,dekat,True,4.0,"Terlihat Bak mandi besar di area kiri. Berdasarkan estimasi kedalaman relatif, bagian tengah-kanan merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif dekat. Area tengah-kanan berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area kiri tampak relatif lebih lapang."
indoor_009.webp,gemma_only,ember,Kamar Mandi,False,kiri,tengah,False,dekat,,,yes,,,1.667,"Terlihat kamar mandi dengan dinding keramik putih dan lantai berpola. Terdapat toilet, wastafel, serta bak mandi besar berwarna abu-abu yang menempati area depan."
indoor_009.webp,depth_only,ember,,False,kiri,,False,dekat,jauh,False,yes,jauh,False,1.0,"Berdasarkan estimasi kedalaman relatif, bagian bawah-kanan merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif jauh. Area bawah-kanan tidak menunjukkan potensi halangan visual yang kuat karena masih berada pada kategori kedalaman relatif jauh. Area tengah tampak relatif lebih lapang."
indoor_009.webp,gemma_depth,ember,Toilet,True,kiri,kanan,False,dekat,jauh,False,yes,jauh,False,2.0,"Terlihat Toilet di area kanan. Berdasarkan estimasi kedalaman relatif, bagian bawah-kanan merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif jauh. Area bawah-kanan tidak menunjukkan potensi halangan visual yang kuat karena masih berada pada kategori kedalaman relatif jauh. Area tengah tampak relatif lebih lapang."
indoor_010.webp,gemma_only,wastafel,wastafel,True,tengah,tengah,True,dekat,,,yes,,,5.0,"Area dapur ini memiliki dinding keramik bermotif dengan wastafel di bagian tengah. Beberapa panci logam terlihat menempati ruang di atas area kerja, berpotensi menghalangi akses."
indoor_010.webp,depth_only,wastafel,,False,tengah,,False,dekat,dekat,True,yes,dekat,True,3.0,"Berdasarkan estimasi kedalaman relatif, bagian bawah-kanan merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif dekat. Area bawah-kanan berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area kiri tampak relatif lebih lapang."
indoor_010.webp,gemma_depth,wastafel,Wastafel dapur,True,tengah,tengah,True,dekat,dekat,True,yes,dekat,True,5.0,"Terlihat Wastafel dapur di area tengah. Berdasarkan estimasi kedalaman relatif, bagian bawah-kanan merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif dekat. Area bawah-kanan berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area kiri tampak relatif lebih lapang."
indoor_011.webp,gemma_only,galon air,Area Dapur/Kompor,False,kanan,kanan,True,dekat,,,yes,,,3.333,Terlihat ruangan indoor dengan dinding polos dan lantai keramik putih. Di sisi kanan terdapat area memasak yang dilengkapi kompor gas dan beberapa persediaan.
indoor_011.webp,depth_only,galon air,,False,kanan,,False,dekat,dekat,True,yes,dekat,True,3.0,"Berdasarkan estimasi kedalaman relatif, bagian bawah-kiri merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif dekat. Area bawah-kiri berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area tengah tampak relatif lebih lapang."
indoor_011.webp,gemma_depth,galon air,Area Dapur,False,kanan,kanan,True,dekat,dekat,True,yes,dekat,True,4.0,"Terlihat Area Dapur di area kanan. Berdasarkan estimasi kedalaman relatif, bagian bawah-kiri merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif dekat. Area bawah-kiri berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area tengah tampak relatif lebih lapang."
indoor_012.webp,gemma_only,magic com,Perangkat elektronik bayi/monitor,False,kiri,kiri,True,dekat,,,yes,,,3.333,Terlihat sebuah perangkat elektronik diletakkan di atas kursi dekat dinding. Area ini tampak seperti lorong dengan pintu kayu yang terlihat di kejauhan.
indoor_012.webp,depth_only,magic com,,False,kiri,,True,dekat,dekat,True,yes,dekat,True,4.0,"Berdasarkan estimasi kedalaman relatif, bagian bawah-kiri merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif dekat. Area bawah-kiri berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area kanan tampak relatif lebih lapang."
indoor_012.webp,gemma_depth,magic com,Alat Suara Bayi,False,kiri,kiri,True,dekat,dekat,True,yes,dekat,True,4.0,"Terlihat Alat Suara Bayi di area kiri. Berdasarkan estimasi kedalaman relatif, bagian bawah-kiri merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif dekat. Area bawah-kiri berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area kanan tampak relatif lebih lapang."
indoor_013.webp,gemma_only,pintu,Pintu kayu cokelat,True,tengah,tengah,True,jauh,,,no,,,5.0,"Ruangan ini memiliki lantai keramik dan didominasi oleh pintu kayu berwarna cokelat yang terletak di tengah. Di sisi kiri terlihat tirai hijau, sementara area di sekitarnya tampak bersih."
indoor_013.webp,depth_only,pintu,,False,tengah,,False,jauh,jauh,True,no,jauh,True,3.0,"Berdasarkan estimasi kedalaman relatif, bagian bawah-kanan merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif jauh. Area bawah-kanan tidak menunjukkan potensi halangan visual yang kuat karena masih berada pada kategori kedalaman relatif jauh. Area kiri tampak relatif lebih lapang."
indoor_013.webp,gemma_depth,pintu,Pintu kayu cokelat,True,tengah,tengah,True,jauh,jauh,True,no,jauh,True,5.0,"Terlihat Pintu kayu cokelat di area tengah. Berdasarkan estimasi kedalaman relatif, bagian bawah-kanan merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif jauh. Area bawah-kanan tidak menunjukkan potensi halangan visual yang kuat karena masih berada pada kategori kedalaman relatif jauh. Area kiri tampak relatif lebih lapang."
indoor_014.webp,gemma_only,bantal lantai,bangku berlapis,False,kiri,tengah,False,dekat,,,yes,,,1.667,Terlihat sebuah bangku dengan beberapa barang diletakkan di atasnya. Terdapat potensi hambatan berupa tas dan sampah yang tersebar di area depan dekat kaki bangku.
indoor_014.webp,depth_only,bantal lantai,,False,kiri,,True,dekat,dekat,True,yes,dekat,True,4.0,"Berdasarkan estimasi kedalaman relatif, bagian tengah-kiri merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif dekat. Area tengah-kiri berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area kanan tampak relatif lebih lapang."
indoor_014.webp,gemma_depth,bantal lantai,bench/sofa kecil,False,kiri,tengah,True,dekat,dekat,True,yes,dekat,True,4.0,"Terlihat bench/sofa kecil di area tengah. Berdasarkan estimasi kedalaman relatif, bagian tengah-kiri merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif dekat. Area tengah-kiri berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area kanan tampak relatif lebih lapang."
indoor_015.webp,gemma_only,koper,Koper hitam besar,True,kiri,kiri,True,sedang,,,no,,,5.0,"Terlihat area indoor dengan lantai keramik dan tirai hijau di sisi kanan. Di sisi kiri terdapat koper besar, sementara di dekat dinding terlihat tumpukan sepatu."
indoor_015.webp,depth_only,koper,,False,kiri,,True,sedang,sedang,True,no,sedang,True,4.0,"Berdasarkan estimasi kedalaman relatif, bagian tengah-kiri merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif sedang. Area tengah-kiri berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area kanan tampak relatif lebih lapang."
indoor_015.webp,gemma_depth,koper,Koper hitam,True,kiri,kiri,True,sedang,sedang,True,no,sedang,True,5.0,"Terlihat Koper hitam di area kiri. Berdasarkan estimasi kedalaman relatif, bagian tengah-kiri merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif sedang. Area tengah-kiri berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area kanan tampak relatif lebih lapang."
indoor_016.webp,gemma_only,lemari plastik,Lemari pajangan berisi piring dekoratif,False,kanan,kanan,True,dekat,,,yes,,,3.333,"Terlihat sebuah lemari pajangan tinggi di sisi kanan ruangan, dipenuhi berbagai piring bergambar karakter. Di sisi kiri tampak sebagian tempat tidur dengan seprai bermotif."
indoor_016.webp,depth_only,lemari plastik,,False,kanan,,True,dekat,dekat,True,yes,dekat,True,4.0,"Berdasarkan estimasi kedalaman relatif, bagian tengah-kanan merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif dekat. Area tengah-kanan berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area kiri tampak relatif lebih lapang."
indoor_016.webp,gemma_depth,lemari plastik,Rak dekoratif bertingkat,False,kanan,tengah,True,dekat,dekat,True,yes,dekat,True,4.0,"Terlihat Rak dekoratif bertingkat di area tengah. Berdasarkan estimasi kedalaman relatif, bagian tengah-kanan merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif dekat. Area tengah-kanan berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area kiri tampak relatif lebih lapang."
indoor_017.webp,gemma_only,meja kerja,Meja Kerja Komputer,True,kanan,tengah,False,dekat,,,yes,,,3.333,"Terlihat sebuah area kerja indoor dengan dua monitor komputer yang menampilkan antarmuka pemrograman. Meja tampak cukup sibuk dengan berbagai peralatan, namun secara keseluruhan berfungsi sebagai stasiun kerja."
indoor_017.webp,depth_only,meja kerja,,False,kanan,,True,dekat,dekat,True,yes,dekat,True,4.0,"Berdasarkan estimasi kedalaman relatif, bagian tengah-kanan merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif dekat. Area tengah-kanan berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area kiri tampak relatif lebih lapang."
indoor_017.webp,gemma_depth,meja kerja,Meja kerja dengan monitor komputer,True,kanan,tengah,True,dekat,dekat,True,yes,dekat,True,5.0,"Terlihat Meja kerja dengan monitor komputer di area tengah. Berdasarkan estimasi kedalaman relatif, bagian tengah-kanan merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif dekat. Area tengah-kanan berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area kiri tampak relatif lebih lapang."
indoor_018.webp,gemma_only,kantong belanja,Area Kamar Mandi,False,kanan,tengah,False,dekat,,,yes,,,1.667,"Ruangan ini memiliki dinding keramik bermotif dan lantai yang bersih. Di sisi kiri terlihat wastafel, sementara di area tengah terdapat karpet dan tempat sampah."
indoor_018.webp,depth_only,kantong belanja,,False,kanan,,False,dekat,dekat,True,yes,dekat,True,3.0,"Berdasarkan estimasi kedalaman relatif, bagian bawah-kiri merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif dekat. Area bawah-kiri berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area tengah tampak relatif lebih lapang."
indoor_018.webp,gemma_depth,kantong belanja,wastafel,False,kanan,kiri,False,dekat,dekat,True,yes,dekat,True,3.0,"Terlihat wastafel di area kiri. Berdasarkan estimasi kedalaman relatif, bagian bawah-kiri merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif dekat. Area bawah-kiri berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area tengah tampak relatif lebih lapang."
indoor_019.webp,gemma_only,kulkas,Kabinet/Meja Penyimpanan,False,kanan,kanan,True,sedang,,,no,,,3.333,"Area indoor ini menampilkan sebuah kabinet abu-abu besar di sisi kanan. Permukaan kabinet tampak berisi berbagai objek dan tumpukan barang, sehingga menimbulkan potensi hambatan."
indoor_019.webp,depth_only,kulkas,,False,kanan,,True,sedang,dekat,False,no,dekat,False,2.0,"Berdasarkan estimasi kedalaman relatif, bagian tengah-kanan merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif dekat. Area tengah-kanan berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area kiri tampak relatif lebih lapang."
indoor_019.webp,gemma_depth,kulkas,Kabinet penyimpanan abu-abu,False,kanan,kanan,True,sedang,dekat,False,no,dekat,False,2.0,"Terlihat Kabinet penyimpanan abu-abu di area kanan. Berdasarkan estimasi kedalaman relatif, bagian tengah-kanan merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif dekat. Area tengah-kanan berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area kiri tampak relatif lebih lapang."
indoor_020.webp,gemma_only,kompor,Kompor gas,True,tengah,tengah,True,dekat,,,yes,,,5.0,Terlihat area dapur dengan kompor gas di atas meja keramik. Beberapa panci dan peralatan masak tampak berada di dekat sumber panas.
indoor_020.webp,depth_only,kompor,,False,tengah,,False,dekat,dekat,True,yes,dekat,True,3.0,"Berdasarkan estimasi kedalaman relatif, bagian bawah-kiri merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif dekat. Area bawah-kiri berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area kanan tampak relatif lebih lapang."
indoor_020.webp,gemma_depth,kompor,Kompor gas,True,tengah,tengah,True,dekat,dekat,True,yes,dekat,True,5.0,"Terlihat Kompor gas di area tengah. Berdasarkan estimasi kedalaman relatif, bagian bawah-kiri merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif dekat. Area bawah-kiri berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area kanan tampak relatif lebih lapang."
indoor_021.webp,gemma_only,wastafel,wastafel,True,kiri,tengah,False,dekat,,,yes,,,3.333,"Area ini tampak seperti kamar mandi dengan dinding berubin motif. Di sisi kanan, terlihat pintu menuju ruangan lain yang terdapat tempat sampah."
indoor_021.webp,depth_only,wastafel,,False,kiri,,True,dekat,sangat_dekat,False,yes,sangat_dekat,True,3.0,"Berdasarkan estimasi kedalaman relatif, bagian bawah-kiri merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif sangat dekat. Area bawah-kiri berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area kanan tampak relatif lebih lapang."
indoor_021.webp,gemma_depth,wastafel,wastafel,True,kiri,tengah,True,dekat,sangat_dekat,False,yes,sangat_dekat,True,4.0,"Terlihat wastafel di area tengah. Berdasarkan estimasi kedalaman relatif, bagian bawah-kiri merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif sangat dekat. Area bawah-kiri berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area kanan tampak relatif lebih lapang."
indoor_022.webp,gemma_only,pintu,Lorong/Koridor,True,kiri,tengah,False,dekat,,,yes,,,3.333,"Terlihat lorong interior yang bersih dengan lantai keramik putih. Di ujung koridor, terdapat pintu kayu berwarna cokelat."
indoor_022.webp,depth_only,pintu,,False,kiri,,True,dekat,dekat,True,yes,dekat,True,4.0,"Berdasarkan estimasi kedalaman relatif, bagian tengah-kiri merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif dekat. Area tengah-kiri berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area tengah tampak relatif lebih lapang."
indoor_022.webp,gemma_depth,pintu,Lorong/Koridor,True,kiri,tengah,True,dekat,dekat,True,yes,dekat,True,5.0,"Terlihat Lorong/Koridor di area tengah. Berdasarkan estimasi kedalaman relatif, bagian tengah-kiri merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif dekat. Area tengah-kiri berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area tengah tampak relatif lebih lapang."
indoor_023.webp,gemma_only,pintu,Pintu kayu cokelat besar,True,tengah,kanan,False,jauh,,,no,,,3.333,"Terlihat sebuah ruangan dengan pintu kayu cokelat yang besar mendominasi sisi kanan. Di dinding sebelah kiri, tampak tangga kecil serta sosok yang terlihat melalui bukaan."
indoor_023.webp,depth_only,pintu,,False,tengah,,False,jauh,jauh,True,no,jauh,True,3.0,"Berdasarkan estimasi kedalaman relatif, bagian bawah-kiri merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif jauh. Area bawah-kiri tidak menunjukkan potensi halangan visual yang kuat karena masih berada pada kategori kedalaman relatif jauh. Area kanan tampak relatif lebih lapang."
indoor_023.webp,gemma_depth,pintu,Pintu kayu cokelat,True,tengah,kanan,False,jauh,jauh,True,no,jauh,True,4.0,"Terlihat Pintu kayu cokelat di area kanan. Berdasarkan estimasi kedalaman relatif, bagian bawah-kiri merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif jauh. Area bawah-kiri tidak menunjukkan potensi halangan visual yang kuat karena masih berada pada kategori kedalaman relatif jauh. Area kanan tampak relatif lebih lapang."
indoor_024.webp,gemma_only,pintu,Pintu kayu cokelat besar,True,kiri,kiri,True,dekat,,,yes,,,5.0,"Terlihat ruangan dengan lantai keramik dan pintu kayu besar di sisi kiri. Di area kanan bawah, terdapat tumpukan barang dan peralatan yang kemungkinan menjadi hambatan."
indoor_024.webp,depth_only,pintu,,False,kiri,,True,dekat,dekat,True,yes,dekat,True,4.0,"Berdasarkan estimasi kedalaman relatif, bagian bawah-kanan merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif dekat. Area bawah-kanan berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area kiri tampak relatif lebih lapang."
indoor_024.webp,gemma_depth,pintu,Pintu kayu cokelat besar,True,kiri,kiri,True,dekat,dekat,True,yes,dekat,True,5.0,"Terlihat Pintu kayu cokelat besar di area kiri. Berdasarkan estimasi kedalaman relatif, bagian bawah-kanan merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif dekat. Area bawah-kanan berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area kiri tampak relatif lebih lapang."
indoor_025.webp,gemma_only,kursi,Meja komputer,True,kanan,kiri,True,dekat,,,yes,,,5.0,"Terlihat sebuah meja kerja dengan monitor dan keyboard yang diletakkan di area kiri. Di sisi kanan, terdapat kursi kantor besar yang kemungkinan menjadi hambatan pergerakan."
indoor_025.webp,depth_only,kursi,,False,kanan,,True,dekat,dekat,True,yes,dekat,True,4.0,"Berdasarkan estimasi kedalaman relatif, bagian bawah-kiri merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif dekat. Area bawah-kiri berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area kanan tampak relatif lebih lapang."
indoor_025.webp,gemma_depth,kursi,Komputer dan meja kerja,True,kanan,kiri,True,dekat,dekat,True,yes,dekat,True,5.0,"Terlihat Komputer dan meja kerja di area kiri. Berdasarkan estimasi kedalaman relatif, bagian bawah-kiri merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif dekat. Area bawah-kiri berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area kanan tampak relatif lebih lapang."
indoor_026.webp,gemma_only,rak sepatu,Koper besar berwarna gelap,False,kanan,kanan,True,sedang,,,no,,,3.333,"Terlihat sebuah koper besar diletakkan di lantai keramik. Di sampingnya, terdapat tumpukan sepatu dan pakaian yang kemungkinan menjadi hambatan pergerakan."
