image_name,source_subset,mode,gt_object,pred_object,object_match,gt_position,pred_position,position_match,gt_distance,pred_distance,distance_match,gt_obstacle,obstacle_match,failure_cause,ambiguity_note,latency_ms,final_description
1 (6082).jpg,sample_new_balancing_medium_far,gemma_depth,bangku ruang ganti,Lorong/Koridor,False,kanan,tengah,True,sedang,jauh,False,no,True,kesalahan_model_objek+kesalahan_depth,,12629,"Gambar menunjukkan lingkungan indoor berupa lorong panjang dengan pagar kayu di kedua sisi. Terdapat lantai datar dan dinding berwarna terang. Berdasarkan estimasi kedalaman relatif, bagian bawah-kanan merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif jauh. Area bawah-kanan tidak menunjukkan potensi halangan visual yang kuat karena masih berada pada kategori kedalaman relatif jauh. Area tengah tampak relatif lebih lapang."
1 (6082).jpg,sample_new_balancing_medium_far,gemma_depth_prompted,bangku ruang ganti,koridor,False,kanan,tengah,True,sedang,jauh,False,no,True,kesalahan_model_objek+kesalahan_depth,,13483,Terlihat sebuah koridor indoor dengan pagar kayu di sepanjang sisi-sisinya. Area tengah tampak relatif lapang dan terbuka. Area bawah-kanan tidak menunjukkan potensi halangan visual yang kuat karena masih berada pada kategori kedalaman relatif jauh. Area tengah tampak relatif lebih lapang.
1 (6083).jpg,sample_new_balancing_medium_far,gemma_only,bangku ruang ganti,Peralatan olahraga,False,kanan,tengah,False,sedang,,,no,,kesalahan_model_objek+kesalahan_model_posisi,,9663,Gambar menunjukkan deretan peralatan olahraga berupa palang paralel yang dipasang di dinding ruangan. Peralatan tersebut terbentang secara horizontal di lantai.
1 (6083).jpg,sample_new_balancing_medium_far,depth_only,bangku ruang ganti,,False,kanan,,True,sedang,jauh,False,no,True,kesalahan_depth,,1376,"Berdasarkan estimasi kedalaman relatif, bagian tengah-kanan merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif jauh. Area tengah-kanan tidak menunjukkan potensi halangan visual yang kuat karena masih berada pada kategori kedalaman relatif jauh. Area kiri tampak relatif lebih lapang."
1 (6083).jpg,sample_new_balancing_medium_far,gemma_depth,bangku ruang ganti,Bangku panjang,False,kanan,tengah,True,sedang,jauh,False,no,True,kesalahan_model_objek+kesalahan_depth,,10675,"Tampak beberapa baris bangku panjang berpenyangga kayu atau logam di dalam ruangan. Bangku-bangku tersebut disusun sejajar di atas lantai yang dilapisi karpet berwarna terang. Berdasarkan estimasi kedalaman relatif, bagian tengah-kanan merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif jauh. Area tengah-kanan tidak menunjukkan potensi halangan visual yang kuat karena masih berada pada kategori kedalaman relatif jauh. Area kiri tampak relatif lebih lapang."
1 (6083).jpg,sample_new_balancing_medium_far,gemma_depth_prompted,bangku ruang ganti,bangku,False,kanan,tengah,True,sedang,jauh,False,no,True,kesalahan_model_objek+kesalahan_depth,,12883,"Beberapa baris bangku panjang terlihat di dalam ruangan, dengan area depan yang relatif lapang dan terbuka. Area tengah-kanan tidak menunjukkan potensi halangan visual yang kuat karena masih berada pada kategori kedalaman relatif jauh. Area kiri tampak relatif lebih lapang."
1 (6169).jpg,sample_new_balancing_medium_far,gemma_only,bangku,Interior ruangan/koridor,True,tengah,tengah,True,sedang,,,no,,berhasil,bench is right-wall object but perspective makes center/right borderline,11390,Gambar menunjukkan interior koridor atau ruangan dengan dinding putih dan lantai kayu berwarna cokelat muda. Terdapat bangku panjang dari kayu yang membentang di sisi kanan gambar.
1 (6169).jpg,sample_new_balancing_medium_far,depth_only,bangku,,False,tengah,,True,sedang,sedang,True,no,True,scene_atau_anotasi_ambigu,bench is right-wall object but perspective makes center/right borderline,1359,"Berdasarkan estimasi kedalaman relatif, bagian bawah-kanan merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif sedang. Area bawah-kanan berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area tengah tampak relatif lebih lapang."
1 (6169).jpg,sample_new_balancing_medium_far,gemma_depth,bangku,koridor/ruangan interior,True,tengah,tengah,True,sedang,sedang,True,no,True,berhasil,bench is right-wall object but perspective makes center/right borderline,11152,"Gambar menunjukkan interior ruangan atau koridor dengan dinding berwarna terang dan lantai berkarpet. Terdapat bangku kayu panjang di bagian depan yang menjorok ke arah pandangan. Berdasarkan estimasi kedalaman relatif, bagian bawah-kanan merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif sedang. Area bawah-kanan berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area tengah tampak relatif lebih lapang."
1 (6169).jpg,sample_new_balancing_medium_far,gemma_depth_prompted,bangku,koridor interior,False,tengah,tengah,True,sedang,sedang,True,no,True,scene_atau_anotasi_ambigu,bench is right-wall object but perspective makes center/right borderline,14096,"Ruangan ini menampilkan koridor interior dengan lantai kayu dan dinding berwarna terang. Area tengah tampak relatif lapang, sementara area di bawah-kanan adalah region terdekat. Area bawah-kanan berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area tengah tampak relatif lebih lapang."
1 (6845).jpg,sample_new_balancing_medium_far,gemma_only,tangga,Area Interior,True,tengah,tengah,True,sedang,,,no,,berhasil,,10690,"Gambar menunjukkan area interior dengan lantai berubin dan karpet oranye. Terdapat tangga batu dan panel kayu di sisi kiri, serta pintu kaca besar di sisi kanan yang menghadap ke luar."
1 (6845).jpg,sample_new_balancing_medium_far,depth_only,tangga,,False,tengah,,True,sedang,sedang,True,no,True,berhasil,,1286,"Berdasarkan estimasi kedalaman relatif, bagian bawah-kanan merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif sedang. Area bawah-kanan berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area tengah tampak relatif lebih lapang."
1 (6845).jpg,sample_new_balancing_medium_far,gemma_depth,tangga,ruangan,True,tengah,tengah,True,sedang,sedang,True,no,True,berhasil,,11994,"Gambar menunjukkan area interior ruangan dengan lantai berubin dan karpet oranye di bagian depan. Terdapat dinding kayu di sisi kiri dan tangga menuju area belakang yang tampak samar. Berdasarkan estimasi kedalaman relatif, bagian bawah-kanan merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif sedang. Area bawah-kanan berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area tengah tampak relatif lebih lapang."
1 (6845).jpg,sample_new_balancing_medium_far,gemma_depth_prompted,tangga,ruangan,False,tengah,tengah,True,sedang,sedang,True,no,True,kesalahan_model_prompted_semantik_objek,,12820,"Tampak sebuah ruangan indoor dengan lantai berubin dan karpet oranye di tengahnya. Area depan terlihat relatif lapang, sementara area paling dekat di bawah-kanan perlu diperhatikan sebagai potensi halangan visual. Area bawah-kanan berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area tengah tampak relatif lebih lapang."
1 (7245).jpg,sample_new_balancing_medium_far,gemma_only,lorong,koridor,False,tengah,tengah,True,jauh,,,no,,kesalahan_model_objek,,10071,Gambar menunjukkan sebuah koridor indoor yang panjang dengan dinding berwarna terang dan lantai reflektif. Koridor tersebut membentang ke kejauhan di kedua sisi.
1 (7245).jpg,sample_new_balancing_medium_far,depth_only,lorong,,False,tengah,,True,jauh,jauh,True,no,True,berhasil,,1296,"Berdasarkan estimasi kedalaman relatif, bagian bawah-kiri merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif jauh. Area bawah-kiri tidak menunjukkan potensi halangan visual yang kuat karena masih berada pada kategori kedalaman relatif jauh. Area tengah tampak relatif lebih lapang."
1 (7245).jpg,sample_new_balancing_medium_far,gemma_depth,lorong,Lorong/Koridor,True,tengah,tengah,True,jauh,jauh,True,no,True,berhasil,,10809,"Gambar menunjukkan sebuah lorong indoor yang panjang dengan lantai berwarna cokelat terang dan dinding berwarna krem. Lorong tersebut memiliki pintu di kedua sisi yang mengarah ke ruangan lain. Berdasarkan estimasi kedalaman relatif, bagian bawah-kiri merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif jauh. Area bawah-kiri tidak menunjukkan potensi halangan visual yang kuat karena masih berada pada kategori kedalaman relatif jauh. Area tengah tampak relatif lebih lapang."
1 (7245).jpg,sample_new_balancing_medium_far,gemma_depth_prompted,lorong,koridor,True,tengah,tengah,True,jauh,jauh,True,no,True,berhasil,,12625,Tampak sebuah koridor indoor yang panjang dengan lantai berwarna kuning mengkilap. Area tengah terlihat relatif lapang dan terbuka menuju ujung lorong. Area bawah-kiri tidak menunjukkan potensi halangan visual yang kuat karena masih berada pada kategori kedalaman relatif jauh. Area tengah tampak relatif lebih lapang.
1 (7248).jpg,sample_new_balancing_medium_far,gemma_only,lorong,koridor,False,tengah,tengah,True,jauh,,,no,,kesalahan_model_objek,,9885,Gambar menunjukkan sebuah koridor indoor yang panjang dengan dinding berwarna terang dan lantai berwarna krem. Di ujung koridor terdapat sebuah ruangan dengan dinding berwarna merah.
1 (7248).jpg,sample_new_balancing_medium_far,depth_only,lorong,,False,tengah,,True,jauh,sedang,False,no,True,kesalahan_depth,,1358,"Berdasarkan estimasi kedalaman relatif, bagian bawah-kiri merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif sedang. Area bawah-kiri berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area tengah tampak relatif lebih lapang."
1 (7248).jpg,sample_new_balancing_medium_far,gemma_depth,lorong,koridor,False,tengah,tengah,True,jauh,sedang,False,no,True,kesalahan_model_objek+kesalahan_depth,,11031,"Gambar menunjukkan sebuah koridor indoor yang panjang dengan dinding berwarna terang dan lantai berwarna cokelat muda. Di ujung koridor terlihat sebuah ruangan dengan dinding merah. Berdasarkan estimasi kedalaman relatif, bagian bawah-kiri merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif sedang. Area bawah-kiri berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area tengah tampak relatif lebih lapang."
1 (7248).jpg,sample_new_balancing_medium_far,gemma_depth_prompted,lorong,koridor,False,tengah,tengah,True,jauh,sedang,False,no,True,kesalahan_model_objek+kesalahan_depth,,13449,Terlihat sebuah koridor indoor dengan lantai berwarna krem yang membentang ke kejauhan. Area tengah tampak relatif lapang dan terbuka menuju ruangan di ujungnya. Area bawah-kiri berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area tengah tampak relatif lebih lapang.
1 (7252).jpg,sample_new_balancing_medium_far,gemma_only,lorong,Lorong,True,tengah,tengah,True,jauh,,,no,,berhasil,,10978,Gambar menunjukkan lorong panjang di dalam ruangan dengan dinding berwarna terang dan lantai berwarna cokelat kekuningan. Lorong ini membentang ke kejauhan dengan pencahayaan yang merata.
1 (7252).jpg,sample_new_balancing_medium_far,depth_only,lorong,,False,tengah,,True,jauh,jauh,True,no,True,berhasil,,1501,"Berdasarkan estimasi kedalaman relatif, bagian tengah-kanan merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif jauh. Area tengah-kanan tidak menunjukkan potensi halangan visual yang kuat karena masih berada pada kategori kedalaman relatif jauh. Area tengah tampak relatif lebih lapang."
1 (7252).jpg,sample_new_balancing_medium_far,gemma_depth,lorong,koridor,False,tengah,tengah,True,jauh,jauh,True,no,True,kesalahan_model_objek,,10763,"Gambar menunjukkan sebuah koridor indoor yang panjang dengan lantai berwarna oranye terang dan dinding berwarna putih. Koridor tersebut memiliki pencahayaan merata dan tampak membentang jauh ke depan. Berdasarkan estimasi kedalaman relatif, bagian tengah-kanan merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif jauh. Area tengah-kanan tidak menunjukkan potensi halangan visual yang kuat karena masih berada pada kategori kedalaman relatif jauh. Area tengah tampak relatif lebih lapang."
1 (7252).jpg,sample_new_balancing_medium_far,gemma_depth_prompted,lorong,lorong,True,tengah,tengah,True,jauh,jauh,True,no,True,berhasil,,13009,"Lorong indoor yang panjang terlihat membentang ke kejauhan. Area tengah tampak relatif lapang dan terbuka, dengan area terdekat berada di sisi tengah-kanan. Area tengah-kanan tidak menunjukkan potensi halangan visual yang kuat karena masih berada pada kategori kedalaman relatif jauh. Area tengah tampak relatif lebih lapang."
1 (7254).jpg,sample_new_balancing_medium_far,gemma_only,lorong,koridor,True,tengah,tengah,True,jauh,,,no,,berhasil,,10113,Gambar menunjukkan sebuah koridor indoor yang panjang dengan lantai mengkilap. Di sisi kanan terdapat deretan lemari pajangan kaca yang memanjang di sepanjang lorong.
1 (7254).jpg,sample_new_balancing_medium_far,depth_only,lorong,,False,tengah,,True,jauh,jauh,True,no,True,berhasil,,2554,"Berdasarkan estimasi kedalaman relatif, bagian tengah-kanan merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif jauh. Area tengah-kanan tidak menunjukkan potensi halangan visual yang kuat karena masih berada pada kategori kedalaman relatif jauh. Area tengah tampak relatif lebih lapang."
1 (7254).jpg,sample_new_balancing_medium_far,gemma_depth,lorong,koridor,False,tengah,tengah,True,jauh,jauh,True,no,True,kesalahan_model_objek,,11915,"Gambar menunjukkan sebuah koridor indoor yang panjang dengan lantai mengkilap berwarna kuning keemasan. Di sisi kanan terdapat deretan lemari kayu, dan di ujung koridor terlihat pintu terang. Berdasarkan estimasi kedalaman relatif, bagian tengah-kanan merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif jauh. Area tengah-kanan tidak menunjukkan potensi halangan visual yang kuat karena masih berada pada kategori kedalaman relatif jauh. Area tengah tampak relatif lebih lapang."
1 (7254).jpg,sample_new_balancing_medium_far,gemma_depth_prompted,lorong,koridor,True,tengah,tengah,True,jauh,jauh,True,no,True,berhasil,,15771,"Koridor indoor ini memperlihatkan lorong panjang dengan lantai mengkilap yang membentang ke kejauhan. Area depan terlihat relatif lapang dan terbuka, menunjukkan kedalaman visual yang jauh. Area tengah-kanan tidak menunjukkan potensi halangan visual yang kuat karena masih berada pada kategori kedalaman relatif jauh. Area tengah tampak relatif lebih lapang."
1 (8391).jpg,sample_new_balancing_medium_far,gemma_only,meja kecil,tangga,False,kiri,tengah,False,sedang,,,no,,kesalahan_model_objek+kesalahan_model_posisi,,8794,Gambar menunjukkan tangga kayu interior yang membentang di sepanjang dinding dengan pagar pembatas. Area tersebut tampak terang dan memiliki lantai kayu.
1 (8391).jpg,sample_new_balancing_medium_far,depth_only,meja kecil,,False,kiri,,False,sedang,jauh,False,no,True,kesalahan_depth,,1749,"Berdasarkan estimasi kedalaman relatif, bagian bawah-kanan merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif jauh. Area bawah-kanan tidak menunjukkan potensi halangan visual yang kuat karena masih berada pada kategori kedalaman relatif jauh. Area tengah tampak relatif lebih lapang."
1 (8391).jpg,sample_new_balancing_medium_far,gemma_depth,meja kecil,Tangga dan pagar pembatas,False,kiri,tengah,False,sedang,jauh,False,no,True,kesalahan_model_objek+kesalahan_model_posisi+kesalahan_depth,,11126,"Gambar menunjukkan interior ruangan dengan tangga kayu yang menanjak di tengah. Terdapat pagar pembatas putih sepanjang tangga dan lantai kayu di bagian bawah. Berdasarkan estimasi kedalaman relatif, bagian bawah-kanan merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif jauh. Area bawah-kanan tidak menunjukkan potensi halangan visual yang kuat karena masih berada pada kategori kedalaman relatif jauh. Area tengah tampak relatif lebih lapang."
1 (8391).jpg,sample_new_balancing_medium_far,gemma_depth_prompted,meja kecil,Tangga dan Interior,False,kiri,tengah,False,sedang,jauh,False,no,True,kesalahan_model_objek+kesalahan_model_posisi+kesalahan_depth,,15986,"Tampak sebuah tangga kayu di dalam ruangan dengan pagar pembatas, menciptakan suasana interior yang terang. Area tengah terlihat relatif lapang dan terbuka. Area bawah-kanan tidak menunjukkan potensi halangan visual yang kuat karena masih berada pada kategori kedalaman relatif jauh. Area tengah tampak relatif lebih lapang."
1 (8466).jpg,sample_new_balancing_medium_far,gemma_only,kabinet dapur,Dapur dan Lemari,False,kiri,depan,False,sedang,,,no,,kesalahan_model_objek+kesalahan_model_posisi,,9731,Gambar menunjukkan area interior dapur dengan lemari kayu di sepanjang dinding dan meja dapur di bagian depan. Terdapat sebuah pintu masuk ke ruangan lain di latar belakang.
1 (8466).jpg,sample_new_balancing_medium_far,depth_only,kabinet dapur,,False,kiri,,False,sedang,dekat,False,no,False,kesalahan_depth,,1552,"Berdasarkan estimasi kedalaman relatif, bagian bawah-kanan merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif dekat. Area bawah-kanan berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area tengah tampak relatif lebih lapang."
1 (8466).jpg,sample_new_balancing_medium_far,gemma_depth,kabinet dapur,Dapur dan Kabinet,False,kiri,tengah,False,sedang,dekat,False,no,False,kesalahan_model_objek+kesalahan_model_posisi+kesalahan_depth,,12132,"Gambar ini menunjukkan area dapur dengan kabinet kayu di bagian depan. Terdapat sebuah pintu terbuka yang mengarah ke ruangan lain di latar belakang. Berdasarkan estimasi kedalaman relatif, bagian bawah-kanan merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif dekat. Area bawah-kanan berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area tengah tampak relatif lebih lapang."
1 (8466).jpg,sample_new_balancing_medium_far,gemma_depth_prompted,kabinet dapur,Dapur,False,kiri,tengah,False,sedang,dekat,False,no,False,kesalahan_model_objek+kesalahan_model_posisi+kesalahan_depth,,15915,Tampak interior dapur dengan lemari kayu dan meja yang membentang secara horizontal. Area terdekat menunjukkan potensi halangan visual yang perlu diperhatikan. Area bawah-kanan berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area tengah tampak relatif lebih lapang.
1 (8477).jpg,sample_new_balancing_medium_far,gemma_only,meja ruang tamu,Ruang tamu,False,tengah,tengah,True,sedang,,,no,,scene_atau_anotasi_ambigu,living-room table appears central but foreground openness is subjective,10078,Gambar menunjukkan interior ruangan yang dilengkapi dengan sofa dan meja di depan jendela besar. Tata letak furnitur tampak simetris dan fokus pada area duduk.
1 (8477).jpg,sample_new_balancing_medium_far,depth_only,meja ruang tamu,,False,tengah,,True,sedang,dekat,False,no,False,scene_atau_anotasi_ambigu,living-room table appears central but foreground openness is subjective,1788,"Berdasarkan estimasi kedalaman relatif, bagian bawah-kanan merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif dekat. Area bawah-kanan berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area tengah tampak relatif lebih lapang."
1 (8477).jpg,sample_new_balancing_medium_far,gemma_depth,meja ruang tamu,Ruang tamu,False,tengah,tengah,True,sedang,dekat,False,no,False,scene_atau_anotasi_ambigu,living-room table appears central but foreground openness is subjective,11090,"Gambar menunjukkan area duduk interior dengan sofa dan meja kopi di tengah ruangan. Terdapat jendela besar yang membiarkan cahaya masuk ke dalam ruangan. Berdasarkan estimasi kedalaman relatif, bagian bawah-kanan merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif dekat. Area bawah-kanan berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area tengah tampak relatif lebih lapang."
1 (8477).jpg,sample_new_balancing_medium_far,gemma_depth_prompted,meja ruang tamu,Ruang tamu,False,tengah,tengah,True,sedang,dekat,False,no,False,scene_atau_anotasi_ambigu,living-room table appears central but foreground openness is subjective,14851,"Tampak sebuah ruangan dalam ruangan dengan perabotan duduk yang tertata di tengah, di mana area paling dekat berada di bagian bawah-kanan. Terdapat potensi halangan visual pada area depan yang perlu diperhatikan secara relatif. Area bawah-kanan berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area tengah tampak relatif lebih lapang."
1 (8553).jpg,sample_new_balancing_medium_far,gemma_only,lorong,Interior Hallway,True,tengah,tengah,True,sedang,,,no,,berhasil,,10087,"Gambar menunjukkan bagian dalam ruangan atau lorong dengan lantai kayu dan dinding berwarna krem. Terdapat beberapa pintu kayu yang terlihat di sisi kiri, kanan, dan tengah gambar."
1 (8553).jpg,sample_new_balancing_medium_far,depth_only,lorong,,False,tengah,,True,sedang,dekat,False,no,False,kesalahan_depth,,1688,"Berdasarkan estimasi kedalaman relatif, bagian bawah-kiri merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif dekat. Area bawah-kiri berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area tengah tampak relatif lebih lapang."
1 (8553).jpg,sample_new_balancing_medium_far,gemma_depth,lorong,Interior ruangan,True,tengah,tengah,True,sedang,dekat,False,no,False,kesalahan_depth,,11692,"Gambar menunjukkan bagian dalam ruangan dengan lantai kayu dan dinding berwarna krem. Terdapat beberapa pintu kayu yang membentuk lorong atau transisi antar ruangan. Berdasarkan estimasi kedalaman relatif, bagian bawah-kiri merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif dekat. Area bawah-kiri berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area tengah tampak relatif lebih lapang."
1 (8553).jpg,sample_new_balancing_medium_far,gemma_depth_prompted,lorong,Interior ruangan,False,tengah,tengah,True,sedang,dekat,False,no,False,kesalahan_model_objek+kesalahan_depth,,14066,Tampak interior sebuah ruangan dengan lantai kayu dan beberapa pintu di sekitarnya. Area depan memiliki potensi halangan visual yang perlu diperhatikan. Area bawah-kiri berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area tengah tampak relatif lebih lapang.
indoor_001.webp,original_30,gemma_only,kipas angin,Ruangan berantakan,False,kanan,tengah,False,dekat,,,yes,,kesalahan_model_objek+kesalahan_model_posisi,,11743,Gambar menunjukkan interior ruangan dengan lantai keramik yang dipenuhi berbagai peralatan dan tumpukan barang. Area tersebut tampak sangat berantakan dengan banyak kabel dan perlengkapan elektronik.
indoor_001.webp,original_30,depth_only,kipas angin,,False,kanan,,True,dekat,sedang,False,yes,False,kesalahan_depth,,1529,"Berdasarkan estimasi kedalaman relatif, bagian bawah-kanan merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif sedang. Area bawah-kanan berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area tengah tampak relatif lebih lapang."
indoor_001.webp,original_30,gemma_depth,kipas angin,Area penyimpanan dan meja kerja,False,kanan,tengah,True,dekat,sedang,False,yes,False,kesalahan_model_objek+kesalahan_depth,,11783,"Gambar menunjukkan lingkungan indoor yang tampak berantakan dengan lantai keramik. Terdapat rak penyimpanan berwarna hijau di sisi kiri dan area meja kerja dengan peralatan komputer di sisi kanan. Berdasarkan estimasi kedalaman relatif, bagian bawah-kanan merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif sedang. Area bawah-kanan berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area tengah tampak relatif lebih lapang."
indoor_001.webp,original_30,gemma_depth_prompted,kipas angin,ruangan,False,kanan,tengah,True,dekat,sedang,False,yes,False,kesalahan_model_objek+kesalahan_depth,,14517,Ruangan indoor ini menunjukkan lantai berubin yang luas dengan berbagai peralatan dan barang tersusun di atasnya. Area terdekat di bagian bawah-kanan tampak sebagai area yang perlu diperhatikan secara relatif. Area bawah-kanan berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area tengah tampak relatif lebih lapang.
